2016-07-09T08:06:52.271057Z,Sal,1.06
2016-07-09T08:06:52.271044Z,TDS,1131
2016-07-09T08:06:52.271031Z,EC,2094
2016-07-09T08:06:52.271018Z,PH,4.495
2016-07-09T08:06:52.271004Z,ORP,301.3
2016-07-09T08:06:52.270985Z,DO,9.59
2016-07-09T08:06:52.270940Z,Temp,32.33
2016-07-09T08:06:44.176052Z,EC,2095
2016-07-09T08:06:44.176040Z,PH,4.501
2016-07-09T08:06:44.176027Z,ORP,301.3
2016-07-09T08:06:44.176010Z,DO,9.59
2016-07-09T08:06:44.175973Z,Temp,32.08
2016-07-09T08:06:26.861548Z,GRV,1.001
2016-07-09T08:06:26.861536Z,Sal,1.06
2016-07-09T08:06:26.861513Z,TDS,1131
2016-07-09T08:06:26.861501Z,EC,2095
2016-07-09T08:06:26.861489Z,PH,4.501
2016-07-09T08:06:26.861476Z,ORP,301.4
2016-07-09T08:06:26.861459Z,DO,9.59
2016-07-09T08:06:26.861419Z,Temp,32.33
2016-07-09T08:06:09.591345Z,EC,2096
2016-07-09T08:06:09.591332Z,PH,4.490
2016-07-09T08:06:09.591318Z,ORP,301.4
2016-07-09T08:06:09.591299Z,DO,9.59
2016-07-09T08:06:09.591265Z,Temp,32.08
2016-07-09T08:05:52.339684Z,GRV,1.001
2016-07-09T08:05:52.339673Z,Sal,1.06
2016-07-09T08:05:52.339662Z,TDS,1131
2016-07-09T08:05:52.339650Z,EC,2096
2016-07-09T08:05:52.339639Z,PH,4.490
2016-07-09T08:05:52.339626Z,ORP,301.8
2016-07-09T08:05:52.339610Z,DO,9.58
2016-07-09T08:05:52.339569Z,Temp,32.08
2016-07-09T08:05:35.014231Z,EC,2099
2016-07-09T08:05:35.014218Z,PH,4.498
2016-07-09T08:05:35.014205Z,ORP,301.8
2016-07-09T08:05:35.014188Z,DO,9.58
2016-07-09T08:05:35.014154Z,Temp,32.08
2016-07-09T08:05:17.786080Z,GRV,1.001
2016-07-09T08:05:17.786068Z,Sal,1.07
2016-07-09T08:05:17.786056Z,TDS,1133
2016-07-09T08:05:17.786043Z,EC,2099
