2017-04-02T05:02:18.098631Z,GRV,1.001
2017-04-02T05:02:18.098639Z,MapLocation,"3.036508,101.6988646"
2017-04-02T05:02:29.234553Z,DO,8.91
2017-04-02T05:02:29.234590Z,ORP,
2017-04-02T05:02:29.234606Z,PH,6.061
2017-04-02T05:02:29.234622Z,EC,2857
2017-04-02T05:02:29.234633Z,Temp,31.59
2017-04-02T05:02:29.234643Z,TDS,1542
2017-04-02T05:02:29.234651Z,Sal,1.48
2017-04-02T05:02:29.234664Z,GRV,1.001
2017-04-02T05:02:29.234674Z,MapLocation,"3.036508,101.6988646"
2017-04-02T05:02:40.985226Z,DO,8.89
2017-04-02T05:02:40.985260Z,ORP,
2017-04-02T05:02:40.985273Z,PH,6.062
2017-04-02T05:02:40.985284Z,EC,2858
2017-04-02T05:02:40.985293Z,Temp,31.59
2017-04-02T05:02:40.985302Z,TDS,1543
2017-04-02T05:02:40.985311Z,Sal,1.48
2017-04-02T05:02:40.985319Z,GRV,1.001
2017-04-02T05:02:40.985327Z,MapLocation,"3.036508,101.6988646"
2017-04-02T05:02:54.170456Z,DO,8.81
2017-04-02T05:02:54.170484Z,ORP,
2017-04-02T05:02:54.170496Z,PH,6.070
2017-04-02T05:02:54.170505Z,EC,2857
2017-04-02T05:02:54.170512Z,Temp,31.34
2017-04-02T05:02:54.170520Z,TDS,1543
2017-04-02T05:02:54.170528Z,Sal,1.48
2017-04-02T05:02:54.170536Z,GRV,1.001
2017-04-02T05:02:54.170543Z,MapLocation,"3.036508,101.6988646"
2017-04-02T05:03:05.032807Z,DO,8.76
2017-04-02T05:03:05.032838Z,ORP,
2017-04-02T05:03:05.032859Z,EC,2858
2017-04-02T05:03:05.032850Z,PH,6.059
2017-04-02T05:03:05.032866Z,Temp,31.59
2017-04-02T05:03:05.032872Z,TDS,1543
2017-04-02T05:03:05.032878Z,Sal,1.48
2017-04-02T05:03:05.032885Z,GRV,1.001
2017-04-02T05:03:05.032892Z,MapLocation,"3.036508,101.6988646"
2017-04-02T05:03:18.170333Z,DO,8.77
2017-04-02T05:03:18.170365Z,ORP,
2017-04-02T05:03:18.170378Z,PH,6.064
2017-04-02T05:03:18.170387Z,EC,2857
2017-04-02T05:03:18.170399Z,Temp,31.59
2017-04-02T05:03:18.170408Z,TDS,1543
2017-04-02T05:03:18.170491Z,Sal,1.48
2017-04-02T05:03:18.170500Z,GRV,1.001
2017-04-02T05:03:18.170509Z,MapLocation,"3.036508,101.6988646"
2017-04-02T05:03:29.004446Z,DO,8.81
2017-04-02T05:03:29.004478Z,ORP,
2017-04-02T05:03:29.004491Z,PH,6.066
2017-04-02T05:03:29.004500Z,EC,2854
2017-04-02T05:03:29.004509Z,Temp,31.34
2017-04-02T05:03:29.004517Z,TDS,1541
2017-04-02T05:03:29.004526Z,Sal,1.47
2017-04-02T05:03:29.004534Z,GRV,1.001
2017-04-02T05:03:29.004542Z,MapLocation,"3.036508,101.6988646"
2017-04-02T05:03:42.178513Z,DO,8.86
2017-04-02T05:03:42.178541Z,ORP,
2017-04-02T05:03:42.178552Z,PH,6.061
2017-04-02T05:03:42.178561Z,EC,2857
2017-04-02T05:03:42.178577Z,TDS,1543
2017-04-02T05:03:42.178569Z,Temp,31.59
2017-04-02T05:03:42.178591Z,GRV,1.001
2017-04-02T05:03:42.178584Z,Sal,1.48
2017-04-02T05:03:42.178598Z,MapLocation,"3.036508,101.6988646"
2017-04-02T05:03:52.988307Z,DO,8.86
2017-04-02T05:03:52.988336Z,ORP,
2017-04-02T05:03:52.988351Z,PH,6.061
2017-04-02T05:03:52.988359Z,EC,2858
2017-04-02T05:03:52.988366Z,Temp,31.34
2017-04-02T05:03:52.988373Z,TDS,1543
2017-04-02T05:03:52.988379Z,Sal,1.48
2017-04-02T05:03:52.988386Z,GRV,1.001
2017-04-02T05:03:52.988391Z,MapLocation,"3.036508,101.6988646"
2017-04-02T05:04:05.225816Z,DO,8.86
2017-04-02T05:04:05.225853Z,ORP,
2017-04-02T05:04:05.225868Z,PH,6.065
2017-04-02T05:04:05.225879Z,EC,2853
2017-04-02T05:04:05.225889Z,Temp,31.34
2017-04-02T05:04:05.225898Z,TDS,1540
2017-04-02T05:04:05.225917Z,GRV,1.001
2017-04-02T05:04:05.225908Z,Sal,1.47
2017-04-02T05:04:05.225926Z,MapLocation,"3.036508,101.6988646"
2017-04-02T05:04:17.232075Z,DO,8.87
2017-04-02T05:04:17.232109Z,ORP,
2017-04-02T05:04:17.232121Z,PH,6.059
2017-04-02T05:04:17.232140Z,Temp,32.08
2017-04-02T05:04:17.232131Z,EC,2858
2017-04-02T05:04:17.232147Z,TDS,1543
2017-04-02T05:04:17.232163Z,GRV,1.001
2017-04-02T05:04:17.232155Z,Sal,1.48
2017-04-02T05:04:17.232170Z,MapLocation,"3.036508,101.6988646"
2017-04-02T05:04:29.249179Z,DO,8.90
2017-04-02T05:04:29.249214Z,ORP,
2017-04-02T05:04:29.249227Z,PH,6.062
2017-04-02T05:04:29.249236Z,EC,2857
2017-04-02T05:04:29.249245Z,Temp,31.34
2017-04-02T05:04:29.249253Z,TDS,1543
2017-04-02T05:04:29.249262Z,Sal,1.48
2017-04-02T05:04:29.249269Z,GRV,1.001
